FID,OBJECTID,REGION,NOM_REGION,PROVINCIA,NOM_PROVIN,COMUNA,NOM_COMUNA,COD_COMUNA,CON_LAB,AMB_NEG,CON_SOC,CON_MOV,SAL_AMB,VIV_EN,ICVU_2021,Shape__Area,Shape__Length
3,249,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8106,LOTA,8106,69.17206603,10.77664383,31.52147581,46.24971691,72.09987137,29.61189812,43.23861201,180821659.460938,80583.6139254482
6,257,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8107,PENCO,8107,70.21148006,12.91744084,35.87180323,49.43252992,71.68433241,26.32804562,44.40760535,167710460.777344,85196.0087896514
12,264,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8111,TOMÉ,8111,66.78666927,10.09734809,46.70853715,51.38457115,64.59241953,35.57934965,45.85814914,771827563.535156,182212.482226553
26,278,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8103,CHIGUAYANTE,8103,76.05741679,12.82775258,49.24976394,60.23350197,75.72131577,34.93486259,51.50410228,99210118.3398438,60471.5870352888
31,283,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8112,HUALPÉN,8112,76.75300817,16.07895837,44.58676503,63.5201134,79.78655642,30.31552446,51.84015431,71218738.5234375,57747.7138469692
47,299,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8102,CORONEL,8102,74.61111494,18.77588203,40.60814502,62.43356888,75.86316996,29.41530492,50.28453096,429472775.175781,156823.693640032
54,306,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8108,SAN PEDRO DE LA PAZ,8108,66.33069764,25.79128657,45.58412601,68.46798694,76.10654376,39.28375339,53.59406572,143580130.652344,63232.791887348
62,314,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8110,TALCAHUANO,8110,70.59160116,23.05644912,45.39669516,67.14653973,71.38996439,32.49628885,51.67958974,145493090.84375,122103.033359635
72,324,8,REGIÓN DEL BIOBÍO,83,BIOBÍO,8301,LOS ÁNGELES,8301,64.18237871,23.69445467,41.01399861,50.93910675,75.89870398,33.0453784,48.12900352,2779001546.4375,317642.819713737
78,330,8,REGIÓN DEL BIOBÍO,81,CONCEPCIÓN,8101,CONCEPCIÓN,8101,71.52301886,34.03072877,55.50309765,67.15646341,74.02067066,37.25639507,56.58172907,337655453.707031,104779.936246271
