X,Y,FID,FID_1,LABELID,POINT_X,POINT_Y,FID_2,COMUNAREAL,VAL_COM,OBJECTID,A_O,IDACCIDENT,REGION,COD_COMUN,COMUNA,CALLE_UNO,CALLE_DOS,NUMERO,DIR_GEOCOD,PAIS,TIPO,OBJECTID_1,Año,Idaccide_1,Claseaccid,Fecha,Hora,Cód_Regi,Región,Cód_Comun,Comuna_1,Cód_Tipo_,Tipo_Accid,Cód_Tipo1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa__CON,Cód_Cau_1,Causa,Cód_Calle,Calle_Un_1,Cód_Cal_1,Calle_Do_1,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Km_Vía_Fe,Pistas_de_,Pistas_de1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos
-8131765.91686275,-4415142.55686617,1,8445,1405999,-73.0488961,-36.82788,95,CONCEPCION,1,56289,2021,1405999,REGION BIO BIO,8101,CONCEPCION,O'HIGGINS,PADRE HURTADO,0,"O'HIGGINS & PADRE HURTADO, CONCEPCION",CHILE,GEOMETRIC_CENTER,76506,2021,1405999,1,2021/12/15 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,32,COLISION LATERAL,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,O'HIGGINS,0,PADRE HURTADO,O'HIGGINS - PADRE HURTADO,0, , , , ,4,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8131765.91686275,-4415142.55686617,2,8446,1408741,-73.0488961,-36.82788,95,CONCEPCION,1,58796,2021,1408741,REGION BIO BIO,8101,CONCEPCION,O'HIGGINS,PADRE HURTADO,0,"O'HIGGINS & PADRE HURTADO, CONCEPCION",CHILE,GEOMETRIC_CENTER,79907,2021,1408741,1,2021/12/28 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,53,CHOQUE POSTERIOR,40,CHOQUE,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,O'HIGGINS,0,PADRE HURTADO,O'HIGGINS - PADRE HURTADO,0, , , , ,4,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8132296.61027121,-4415140.45686545,3,8447,1373918,-73.0536634,-36.8278649,95,CONCEPCION,1,35041,2021,1373918,REGION BIO BIO,8101,CONCEPCION,LINCOYAN,BARROS ARANA,0,"LINCOYAN & BARROS ARANA, CONCEPCION",CHILE,GEOMETRIC_CENTER,48302,2021,1373918,1,2021/08/24 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,32,COLISION LATERAL,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,LINCOYAN,0,BARROS ARANA,BARROS ARANA - LINCOYAN,0, , , , ,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8131599.0155502,-4415138.32905056,4,8448,1377936,-73.0473968,-36.8278496,95,CONCEPCION,1,37793,2021,1377936,REGION BIO BIO,8101,CONCEPCION,SAN MARTIN,COLO COLO,0,"SAN MARTIN & COLO COLO, CONCEPCION",CHILE,GEOMETRIC_CENTER,51934,2021,1377936,1,2021/09/08 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,33,COLISION POR ALCANCE,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,SAN MARTIN,0,COLO COLO,COLO COLO - SAN MARTIN,0, , , , ,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8131248.90461971,-4415136.68799101,5,8449,1336034,-73.0442517,-36.8278378,95,CONCEPCION,1,4663,2021,1336034,REGION BIO BIO,8101,CONCEPCION,TUCAPEL,COCHRANE,0,"TUCAPEL & COCHRANE, CONCEPCION",CHILE,GEOMETRIC_CENTER,6533,2021,1336034,1,2021/02/03 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,32,COLISION LATERAL,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,91,VIRAJES INDEBIDOS,0,TUCAPEL,0,COCHRANE,COCHRANE - TUCAPEL,0, , , , ,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8132092.14976247,-4415135.85355405,6,8450,1387177,-73.0518267,-36.8278318,95,CONCEPCION,1,44431,2021,1387177,REGION BIO BIO,8101,CONCEPCION,RAMON CARRASCO,ALONSO DE GARCIA,0,"RAMON CARRASCO & ALONSO DE GARCIA, CONCEPCION",CHILE,GEOMETRIC_CENTER,60744,2021,1387177,1,2021/10/14 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,10,ATROPELLO,10,ATROPELLO,1,URBANA,26,OTROS NO CONSIDERADOS,2,IMPRUDENCIA DEL PEATON,51,PEATON PERMANECE SOBRE LA CALZADA,0,RAMON CARRASCO,0,ALONSO DE GARCIA,ALONSO DE GARCIA - RAMON CARRASCO,0, , , , ,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,1
-8125712.71917578,-4415130.2489208,7,8451,1397188,-72.9945193,-36.8277915,95,CONCEPCION,1,47806,2021,1397188,REGION BIO BIO,8101,CONCEPCION,NONGUEN, ,81,"NONGUEN 81, CONCEPCION",CHILE,RANGE_INTERPOLATED,65234,2021,1397188,1,2021/11/02 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,NONGUEN,0, ,- NONGUEN,81, , , , ,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8130892.69338112,-4415128.26018069,8,8452,1405167,-73.0410518,-36.8277772,95,CONCEPCION,1,55445,2021,1405167,REGION BIO BIO,8101,CONCEPCION,ONGOLMO,CHACABUCO,0,"ONGOLMO & CHACABUCO, CONCEPCION",CHILE,GEOMETRIC_CENTER,75313,2021,1405167,1,2021/12/10 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,34,COLISION PERPENDICULAR,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,4,ALCOHOL EN CONDUCTOR,24,CONDUCCION EN ESTADO DE EBRIEDAD,0,ONGOLMO,0,CHACABUCO,CHACABUCO - ONGOLMO,0, , , , ,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8131754.47321909,-4415127.7595189,9,8453,1380013,-73.0487933,-36.8277736,95,CONCEPCION,0,39401,2021,1380013,REGION BIO BIO,8111,TOME,VIOLETA PARRA,EDUARDO PARRA,0,"VIOLETA PARRA & EDUARDO PARRA, TOME",CHILE,GEOMETRIC_CENTER,54115,2021,1380013,1,2021/09/17 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8111,TOME,34,COLISION PERPENDICULAR,30,COLISION,2,RURAL,16,CRUCE SIN SEÑALIZACION,9,PERDIDA CONTROL VEHICULO,95,PERDIDA CONTROL VEHICULO,0,VIOLETA PARRA,0,EDUARDO PARRA,EDUARDO PARRA - VIOLETA PARRA,0, , , , ,1,1,2,BIDIRECCIONAL,5,RIPIO,1,BUENO,0, ,1,DESPEJADO,0,0,0,1,1
-8132554.181309,-4415117.96880419,10,8454,1325046,-73.0559772,-36.8277032,95,CONCEPCION,1,955,2021,1325046,REGION BIO BIO,8101,CONCEPCION,FREIRE, ,264,"FREIRE 264, CONCEPCION",CHILE,RANGE_INTERPOLATED,1307,2021,1325046,1,2021/01/07 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,53,CHOQUE POSTERIOR,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,1,IMPRUDENCIA DEL CONDUCTOR,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,0,FREIRE,0, ,- FREIRE,264, , , , ,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
-8132972.78712218,-4415115.86880832,11,8455,1375878,-73.0597376,-36.8276881,95,CONCEPCION,1,36217,2021,1375878,REGION BIO BIO,8101,CONCEPCION,MAIPU, ,25,"MAIPU 25, CONCEPCION",CHILE,RANGE_INTERPOLATED,49846,2021,1375878,1,2021/08/31 00:00:00+00,1899/12/30 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,53,CHOQUE POSTERIOR,40,CHOQUE,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,1,IMPRUDENCIA DEL CONDUCTOR,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,0,MAIPU,0, ,- MAIPU,25, , , , ,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2
