X,Y,FID,POINT_X,POINT_Y,Idaccident,Año,Claseaccid,Fecha,Cód_Regi,Región,Cód_Comun,Comuna,Cód_Tipo,Tipo_Accid,Cód_Tip_1,Tipo__CONA,Cód_Zona,Zona,Cód_Ubica,Ubicación,Cód_Causa,Causa,Cód_Cau_1,Causa__CON,Cód_Calle,Calle_Uno,Cód_Cal_1,Calle_Dos,Intersecci,Número,Ruta,Cód_Ruta,Ubicaci_1,Pistas_de,Pistas_d_1,Cód_Calza,Calzada,Cód__Tipo,Tipo_Calza,Cód_Estad,Estado_Cal,Cód_Condi,Condición,Cód_Est_1,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves,Ilesos,Hora_1
-8134952.25917552,-4412439.30895582,1,-73.077519,-36.80844,1417833,2022,1,2022/02/03 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,63,CHOQUE FRENTE/POSTERIOR,40,CHOQUE,1,URBANA,16,CRUCE SIN SEÑALIZACION,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,21 DE MAYO,0,JORGE ALESSANDRI,21 DE MAYO - JORGE ALESSANDRI,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,13:05:00
-8165130.38313627,-4505935.24956419,2,-73.348614,-37.477931,1417881,2022,1,2022/01/24 00:00:00+00,8,REGION BIO BIO,8205,CURANILAHUE,52,CHOQUE LATERAL,40,CHOQUE,1,URBANA,4,ACERA O BERMA,97,CAUSAS NO DETERMINADAS,13,CAUSAS NO DETERMINADAS,0,MANUEL MONTT,0,0,- MANUEL MONTT,1220,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,13:00:00
-8042121.56657327,-4539920.75368664,3,-72.243607,-37.719818,1417908,2022,1,2022/02/01 00:00:00+00,8,REGION BIO BIO,8305,MULCHEN,32,COLISION LATERAL,30,COLISION,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,64,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,10,DESOBEDIENCIA A SEÑALIZACION,0,PEDRO LAGOS,0,SOTOMAYOR,PEDRO LAGOS - SOTOMAYOR,0,0,0,0,1,0,1,UNIDIRECCIONAL,2,ASFALTO,2,REGULAR,2,HUMEDO,2,NUBLADO,1,0,0,1,1,05:50:00
-8094490.14009266,-4477621.60984041,4,-72.714042,-37.275813,1417980,2022,1,2022/01/27 00:00:00+00,8,REGION BIO BIO,8304,LAJA,30,COLISION,30,COLISION,1,URBANA,14,CRUCE CON SEÑAL PARE,65,SEÑALIZACION DESOBEDECER SEÑAL PARE,10,DESOBEDIENCIA A SEÑALIZACION,0,GABRIELA MISTRAL,0,SAN MARTIN,GABRIELA MISTRAL - SAN MARTIN,0,0,0,0,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,1,0,1,0,16:50:00
-8094878.03285833,-4477923.37025688,5,-72.717527,-37.27797,1417987,2022,1,2022/01/28 00:00:00+00,8,REGION BIO BIO,8304,LAJA,30,COLISION,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,ARTURO PRAT,0,0,- ARTURO PRAT,489,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,08:55:00
-8077547.73660799,-4452334.7130356,6,-72.561846,-37.094841,1417989,2022,1,2022/01/30 00:00:00+00,8,REGION BIO BIO,8313,YUMBEL,51,CHOQUE FRONTAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,BERNARDO O'HIGGINS,0,0,- BERNARDO O'HIGGINS,75,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,1,08:40:00
-8137433.58175725,-4409687.47111541,7,-73.09981,-36.788645,1418111,2022,1,2022/02/04 00:00:00+00,8,REGION BIO BIO,8112,HUALPEN,30,COLISION,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,1,IMPRUDENCIA DEL CONDUCTOR,0,LA RECONQUISTA,0,0,- LA RECONQUISTA,4156,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,22:25:00
-8133225.46010238,-4414733.88506227,8,-73.062007,-36.824941,1418130,2022,1,2022/02/03 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,30,COLISION,30,COLISION,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,91,VIRAJES INDEBIDOS,1,IMPRUDENCIA DEL CONDUCTOR,0,ARTURO PRAT,0,MARTINEZ DE ROZAS,ARTURO PRAT - MARTINEZ DE ROZAS,0,0,0,0,3,3,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,2,1,10:15:00
-8139085.1733824,-4407329.95802522,9,-73.114646,-36.771683,1418141,2022,1,2022/02/04 00:00:00+00,8,REGION BIO BIO,8110,TALCAHUANO,70,VOLCADURA,70,VOLCADURA,1,URBANA,11,CRUCE CON SEMAFORO FUNCIONANDO,28,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,1,IMPRUDENCIA DEL CONDUCTOR,0,COSTANERA,0,GRAN BRETAÑA,COSTANERA - GRAN BRETAÑA,0,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,1,2,07:50:00
-8133969.89806512,-4412182.75988508,10,-73.068695,-36.806595,1418160,2022,1,2022/02/03 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,30,COLISION,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,32,NO RESPETAR DERECHO PREFERENTE DE PASO A VEHICULO,1,IMPRUDENCIA DEL CONDUCTOR,0,ANIBAL PINTO,0,PASAJE CATORCE,ANIBAL PINTO - PASAJE CATORCE,0,0,0,0,2,2,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,18:40:00
-8054516.20150472,-4504112.74765277,11,-72.35495,-37.464937,1418202,2022,1,2022/02/02 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,30,COLISION,30,COLISION,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,ERCILLA,0,0,- ERCILLA,715,0,0,0,2,2,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,2,REGULAR,1,SECO,1,DESPEJADO,0,0,0,1,1,11:20:00
-8052694.78086441,-4506837.23422909,12,-72.338588,-37.484361,1418219,2022,1,2022/02/02 00:00:00+00,8,REGION BIO BIO,8301,LOS ANGELES,51,CHOQUE FRONTAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,FRANCISCO COLOANE,0,0,- FRANCISCO COLOANE,1363,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,1,00:40:00
-8090009.01851857,-4509860.15517821,13,-72.673788,-37.505906,1418264,2022,1,2022/02/01 00:00:00+00,8,REGION BIO BIO,8306,NACIMIENTO,30,COLISION,30,COLISION,1,URBANA,15,CRUCE CON SEÑAL CEDA EL PASO,64,SEÑALIZACION DESOBEDECER SEÑAL CEDA EL PASO,10,DESOBEDIENCIA A SEÑALIZACION,0,CIPRIANO MEDINA,0,MONTRI,CIPRIANO MEDINA - MONTRI,0,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,1,0,0,2,15:40:00
-8091909.91014335,-4508769.55425212,14,-72.690864,-37.498134,1418283,2022,1,2022/02/01 00:00:00+00,8,REGION BIO BIO,8306,NACIMIENTO,10,ATROPELLO,10,ATROPELLO,1,URBANA,1,TRAMO DE VIA RECTA,31,NO RESPETAR DERECHO PREFERENTE DE PASO A PEATON,1,IMPRUDENCIA DEL CONDUCTOR,0,OSCAR VALDEBENITO,0,0,- OSCAR VALDEBENITO,1470,0,0,0,1,1,2,BIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,15:30:00
-8153898.52481396,-4475232.6076745,15,-73.247717,-37.258734,1418363,2022,1,2022/02/01 00:00:00+00,8,REGION BIO BIO,8202,ARAUCO,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,VICENTE MILLAN,0,0,- VICENTE MILLAN,341,0,0,0,1,1,2,BIDIRECCIONAL,2,ASFALTO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,1,03:40:00
-8130856.28077568,-4413882.47793424,16,-73.040725,-36.818819,1418366,2022,1,2022/02/01 00:00:00+00,8,REGION BIO BIO,8101,CONCEPCION,50,CHOQUE,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,24,CONDUCCION EN ESTADO DE EBRIEDAD,4,ALCOHOL EN CONDUCTOR,0,LOS CARRERA,0,GALVARINO,GALVARINO - LOS CARRERA,0,0,0,0,3,3,3,BIDIRECCIONAL CON BANDEJON,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,1,00:01:00
-8162088.5446545,-4473495.66212292,17,-73.321289,-37.246314,1418368,2022,1,2022/02/01 00:00:00+00,8,REGION BIO BIO,8202,ARAUCO,50,CHOQUE,40,CHOQUE,1,URBANA,14,CRUCE CON SEÑAL PARE,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,CARLOS CONDELL,0,ARTURO PRAT,ARTURO PRAT - CARLOS CONDELL,0,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,1,08:00:00
-8153667.95988463,-4475120.17122784,18,-73.245645,-37.25793,1418371,2022,1,2022/02/01 00:00:00+00,8,REGION BIO BIO,8202,ARAUCO,52,CHOQUE LATERAL,40,CHOQUE,1,URBANA,1,TRAMO DE VIA RECTA,27,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,1,IMPRUDENCIA DEL CONDUCTOR,0,VICENTE MILLAN,0,0,- VICENTE MILLAN,230,0,0,0,2,0,1,UNIDIRECCIONAL,1,CONCRETO,1,BUENO,1,SECO,1,DESPEJADO,0,0,0,0,2,14:10:00
