X,Y,FID,Año,IdAccident,Latitud,longitud,ClaseAccid,Fecha,Hora,Región,Comuna,Tipo_Accid,Tipo__CONA,Zona,Ubicación,Causa__CON,Causa_Acci,Calle_Uno,Calle_Dos,Intersecci,Número,Ruta,Ubicaci_1,Calzada,Tipo_Calza,Estado_Cal,Condición,Estado_Atm,Fallecidos,Graves,Menos_Grav,Leves
-8136859.96395389,-4417317.11253266,1,2024,1594837,-36.843514,-73.094657,1,2024/03/03 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,SAN PEDRO DE LA PAZ,COLISION PERPENDICULAR,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,DESOBEDIENCIA A SENALIZACION,SENALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,PEDRO LIRA,MICHIMALONCO,MICHIMALONCO - PEDRO LIRA,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8055026.92419653,-4505907.74180006,2,2024,1588674,-37.477735,-72.359538,1,2024/01/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,JOSE MIGUEL INFANTE,CONDELL,CONDELL - JOSE MIGUEL INFANTE,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,2
-8141420.08856985,-4420881.00090306,3,2024,1594856,-36.869131,-73.135621,1,2024/03/03 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,SAN PEDRO DE LA PAZ,CHOQUE FRENTE/POSTERIOR,CHOQUE,URBANA,CRUCE CON SENAL PARE,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,LOS MANIOS, ,- LOS MANIOS,3925, , ,BIDIRECCIONAL,ASFALTO,BUENO,SECO,DESPEJADO,0,0,0,0
-8009423.89291765,-4480333.28701487,4,2024,1588675,-37.295194,-71.949879,1,2024/01/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,TUCAPEL,CHOQUE POSTERIOR,CHOQUE,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ROBERTO GOMEZ,PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA - ROBERTO GOMEZ,0, , ,BIDIRECCIONAL,ASFALTO,REGULAR,SECO,DESPEJADO,0,0,0,0
-8136947.31233968,-4416653.15330838,5,2024,1594859,-36.838741,-73.095441,1,2024/03/03 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,SAN PEDRO DE LA PAZ,COLISION LATERAL,COLISION,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,DESOBEDIENCIA A SENALIZACION,SENALIZACION DESOBEDECER LUZ ROJA DE SEMAFORO,PEDRO AGUIRRE CERDA,VICTORIA,PEDRO AGUIRRE CERDA - VICTORIA,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,1,0
-8134241.09460859,-4411307.89494437,6,2024,1594891,-36.800302,-73.071131,1,2024/03/04 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,HUALPEN,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION SIN MANTENER DISTANCIA RAZONABLE NI PRUDENTE,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ, ,- PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,2047, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,5
-8053900.03699123,-4506445.00242595,7,2024,1588681,-37.481565,-72.349415,1,2024/01/25 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,COLISION POR ALCANCE,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,VICUNA MACKENNA, ,- VICUNA MACKENNA,158, , ,BIDIRECCIONAL CON BANDEJON,ASFALTO,BUENO,SECO,DESPEJADO,0,1,0,0
-8134868.15730023,-4411930.17925183,8,2024,1594930,-36.804778,-73.076764,1,2024/03/05 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,HUALPEN,COLISION,COLISION,URBANA,TRAMO DE VIA RECTA,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,COSTANERA,PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,COSTANERA - PRESIDENTE JORGE ALESSANDRI RODRIGUEZ,0, , ,BIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1
-8052778.381802,-4504155.73402863,9,2024,1588688,-37.465244,-72.339339,1,2024/01/26 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,CHOQUE FRENTE/LADO,CHOQUE,URBANA,CRUCE CON SEMAFORO FUNCIONANDO,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,GUILLERMO MARCONI,ALEMANIA,ALEMANIA - GUILLERMO MARCONI,0, , ,BIDIRECCIONAL CON BANDEJON,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,0
-8056958.65132026,-4504026.98541858,10,2024,1588699,-37.464326,-72.376891,1,2024/01/26 00:00:00+00,1899/12/30 00:00:00+00,REGION BIO BIO,LOS ANGELES,COLISION LATERAL,COLISION,URBANA,CRUCE CON SENAL PARE,IMPRUDENCIA DEL CONDUCTOR,CONDUCCION NO ATENTO CONDICIONES TRANSITO MOMENTO,ESTANISLAO ANGUITA,BOMBERO FRANCISCO RIOSECO,BOMBERO FRANCISCO RIOSECO - ESTANISLAO ANGUITA,0, , ,UNIDIRECCIONAL,CONCRETO,BUENO,SECO,DESPEJADO,0,0,0,1
