FID,type,nombre,comuna,nombre_reg,nombre_com,Shape__Length,calle_join_key
3705,primary,Avenida Longitudinal Sur,8401,REGIÓN DEL BIOBÍO,CHILLÁN,1975.00057546986,AVENIDA LONGITUDINAL SUR
3706,primary,Enlace Salto del Laja,8303,REGIÓN DEL BIOBÍO,CABRERO,75.555846109023,ENLACE SALTO DEL LAJA
3707,motorway_link,Salida a Saltos del Laja,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,989.829761383079,SALIDA A SALTOS DEL LAJA
3708,footway,,8303,REGIÓN DEL BIOBÍO,CABRERO,506.95887534664,
3709,motorway,Puente Laja,8303,REGIÓN DEL BIOBÍO,CABRERO,57.9407322275967,PUENTE LAJA
3710,motorway,Puente Laja,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,60.2885580679278,PUENTE LAJA
3711,motorway,Puente Laja,8303,REGIÓN DEL BIOBÍO,CABRERO,58.7456027195118,PUENTE LAJA
3712,motorway,Puente Laja,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,59.0626407464978,PUENTE LAJA
3713,service,Copec,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,459.413238497555,COPEC
3714,motorway,Autopista del Bosque,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,8845.80454250985,AUTOPISTA DEL BOSQUE
3715,motorway,Autopista del Bosque,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,174.173944379709,AUTOPISTA DEL BOSQUE
3716,motorway,Autopista del Bosque,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,169.9918466235,AUTOPISTA DEL BOSQUE
3717,motorway,Longitudinal Sur (Autopista del Bosque),8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,10536.9771507117,LONGITUDINAL SUR (AUTOPISTA DEL BOSQUE)
3718,motorway,Autopista del Bosque,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,227.688103344362,AUTOPISTA DEL BOSQUE
3719,motorway,Autopista del Bosque,8305,REGIÓN DEL BIOBÍO,MULCHÉN,144.728106560825,AUTOPISTA DEL BOSQUE
3720,motorway,Autopista del Bosque,8301,REGIÓN DEL BIOBÍO,LOS ÁNGELES,230.618663324633,AUTOPISTA DEL BOSQUE
3721,motorway,Autopista del Bosque,8305,REGIÓN DEL BIOBÍO,MULCHÉN,142.965861773487,AUTOPISTA DEL BOSQUE
3722,motorway,Autopista del Bosque,8305,REGIÓN DEL BIOBÍO,MULCHÉN,16928.253311231,AUTOPISTA DEL BOSQUE
3884,residential,Avenida Vicente Méndez,8401,REGIÓN DEL BIOBÍO,CHILLÁN,1244.5402189913,AVENIDA VICENTE MÉNDEZ
4732,secondary,Constitución,8401,REGIÓN DEL BIOBÍO,CHILLÁN,386.771887279319,CONSTITUCIÓN
4733,primary,Avenida Vicente Méndez,8401,REGIÓN DEL BIOBÍO,CHILLÁN,540.315696838533,AVENIDA VICENTE MÉNDEZ
4734,primary,Avenida Argentina,8401,REGIÓN DEL BIOBÍO,CHILLÁN,336.578550178036,AVENIDA ARGENTINA
4735,tertiary,El Roble,8401,REGIÓN DEL BIOBÍO,CHILLÁN,1267.36492309462,EL ROBLE
4736,residential,Yerbas Buenas,8401,REGIÓN DEL BIOBÍO,CHILLÁN,380.929348220642,YERBAS BUENAS
4737,residential,Gamero,8401,REGIÓN DEL BIOBÍO,CHILLÁN,383.429507412781,GAMERO
5293,tertiary,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,2074.16274340235,
6665,secondary,Avenida Libertad,8401,REGIÓN DEL BIOBÍO,CHILLÁN,28.0889475733446,AVENIDA LIBERTAD
6666,residential,Itata,8401,REGIÓN DEL BIOBÍO,CHILLÁN,2171.98199998967,ITATA
6667,secondary,18 de Septiembre,8401,REGIÓN DEL BIOBÍO,CHILLÁN,33.5991021619262,18 DE SEPTIEMBRE
6668,tertiary,18 de Septiembre,8401,REGIÓN DEL BIOBÍO,CHILLÁN,655.266879366849,18 DE SEPTIEMBRE
6669,residential,Carrera,8401,REGIÓN DEL BIOBÍO,CHILLÁN,73.072344163802,CARRERA
6670,secondary,18 de Septiembre,8401,REGIÓN DEL BIOBÍO,CHILLÁN,59.3901305486597,18 DE SEPTIEMBRE
6671,trunk,Avenida San Juan Bosco,8101,REGIÓN DEL BIOBÍO,CONCEPCIÓN,159.001567961381,AVENIDA SAN JUAN BOSCO
7283,primary,Avenida Brasil,8401,REGIÓN DEL BIOBÍO,CHILLÁN,920.125398845708,AVENIDA BRASIL
7284,residential,Purén,8401,REGIÓN DEL BIOBÍO,CHILLÁN,32.6744061064096,PURÉN
7285,secondary,Avenida Brasil,8401,REGIÓN DEL BIOBÍO,CHILLÁN,107.570187192218,AVENIDA BRASIL
7286,residential,Independencia,8401,REGIÓN DEL BIOBÍO,CHILLÁN,388.797540353623,INDEPENDENCIA
7287,primary,Collín,8401,REGIÓN DEL BIOBÍO,CHILLÁN,853.271052407321,COLLÍN
7288,primary,Collin,8401,REGIÓN DEL BIOBÍO,CHILLÁN,37.2186294325439,COLLIN
7289,primary,Collín,8401,REGIÓN DEL BIOBÍO,CHILLÁN,94.9013794982271,COLLÍN
7290,motorway,Autopista Talca - Chillán,8401,REGIÓN DEL BIOBÍO,CHILLÁN,78.9417219412169,AUTOPISTA TALCA - CHILLÁN
7291,motorway,Autopista Talca - Chillán,8419,REGIÓN DEL BIOBÍO,SAN NICOLÁS,597.003002422598,AUTOPISTA TALCA - CHILLÁN
7745,tertiary,Avenida Andrés Bello,8401,REGIÓN DEL BIOBÍO,CHILLÁN,289.942007628188,AVENIDA ANDRÉS BELLO
7746,tertiary,Emmanuel,8401,REGIÓN DEL BIOBÍO,CHILLÁN,52.7135654056942,EMMANUEL
7747,tertiary,Diego Portales,8401,REGIÓN DEL BIOBÍO,CHILLÁN,551.07307589909,DIEGO PORTALES
7748,residential,Bulnes,8401,REGIÓN DEL BIOBÍO,CHILLÁN,31.7588223622692,BULNES
7749,tertiary,Arauco,8401,REGIÓN DEL BIOBÍO,CHILLÁN,389.977373031491,ARAUCO
7750,residential,Herminda Martín,8401,REGIÓN DEL BIOBÍO,CHILLÁN,185.079627287606,HERMINDA MARTÍN
7751,service,Jumbo,8401,REGIÓN DEL BIOBÍO,CHILLÁN,165.248157336084,JUMBO
7752,residential,Salida Jumbo,8401,REGIÓN DEL BIOBÍO,CHILLÁN,22.3163435791529,SALIDA JUMBO
7760,tertiary,Maipón,8401,REGIÓN DEL BIOBÍO,CHILLÁN,386.38005428166,MAIPÓN
7761,secondary,Camino a Cato,8401,REGIÓN DEL BIOBÍO,CHILLÁN,21302.6099502186,CAMINO A CATO
7762,secondary,Camino a Cato,8405,REGIÓN DEL BIOBÍO,COIHUECO,9205.08386925758,CAMINO A CATO
7763,secondary,Chillán - Nahueltoro,8401,REGIÓN DEL BIOBÍO,CHILLÁN,5164.71581185287,CHILLÁN - NAHUELTORO
7764,primary,Avenida Libertador Bernardo O'Higgins,8401,REGIÓN DEL BIOBÍO,CHILLÁN,2264.16325820848,AVENIDA LIBERTADOR BERNARDO O'HIGGINS
7765,primary,Avenida Libertador Bernardo O'Higgins,8401,REGIÓN DEL BIOBÍO,CHILLÁN,29.5093853780859,AVENIDA LIBERTADOR BERNARDO O'HIGGINS
7766,tertiary,20 de Agosto,8406,REGIÓN DEL BIOBÍO,CHILLÁN VIEJO,165.786660613077,20 DE AGOSTO
7767,residential,Arturo Prat,8401,REGIÓN DEL BIOBÍO,CHILLÁN,389.620901855863,ARTURO PRAT
7768,tertiary,5 de Abril,8401,REGIÓN DEL BIOBÍO,CHILLÁN,30.3332934751965,5 DE ABRIL
7769,residential,Sargento Aldea,8401,REGIÓN DEL BIOBÍO,CHILLÁN,207.069723928025,SARGENTO ALDEA
7770,residential,Cocharcas,8401,REGIÓN DEL BIOBÍO,CHILLÁN,424.686499335243,COCHARCAS
7771,residential,Carrera,8401,REGIÓN DEL BIOBÍO,CHILLÁN,918.063924237597,CARRERA
7772,residential,Purén,8401,REGIÓN DEL BIOBÍO,CHILLÁN,1251.00313024017,PURÉN
7773,residential,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,54.149148056218,
7774,residential,Rosas,8401,REGIÓN DEL BIOBÍO,CHILLÁN,263.282309741562,ROSAS
7775,pedestrian,Claudio Arrau,8401,REGIÓN DEL BIOBÍO,CHILLÁN,15.6702857063646,CLAUDIO ARRAU
7776,primary_link,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,32.0374631775271,
7777,living_street,Mariscal Ruiz de Gamboa,8401,REGIÓN DEL BIOBÍO,CHILLÁN,179.049569493839,MARISCAL RUIZ DE GAMBOA
7778,living_street,,8401,REGIÓN DEL BIOBÍO,CHILLÁN,179.207879169066,
7779,residential,Avenida Brasil,8401,REGIÓN DEL BIOBÍO,CHILLÁN,185.154910821658,AVENIDA BRASIL
7780,primary,Avenida Brasil,8401,REGIÓN DEL BIOBÍO,CHILLÁN,354.231158788469,AVENIDA BRASIL
