FID,Comuna,type,Shape__Length,Year,hora_del_dia,dia_semana,mes,target
127031,CHIGUAYANTE,residential,357.191782846424,2021,0,0,8,1
220933,CHIGUAYANTE,residential,646.507653970723,2021,0,0,8,1
220937,CHIGUAYANTE,residential,524.440732252346,2021,0,0,8,1
127031,CHIGUAYANTE,residential,357.191782846424,2021,0,3,4,1
220933,CHIGUAYANTE,residential,646.507653970723,2021,0,3,4,1
220937,CHIGUAYANTE,residential,524.440732252346,2021,0,3,4,1
127031,CHIGUAYANTE,residential,357.191782846424,2021,0,6,8,1
220933,CHIGUAYANTE,residential,646.507653970723,2021,0,6,8,1
220937,CHIGUAYANTE,residential,524.440732252346,2021,0,6,8,1
127031,CHIGUAYANTE,residential,357.191782846424,2021,0,1,10,1
220933,CHIGUAYANTE,residential,646.507653970723,2021,0,1,10,1
220937,CHIGUAYANTE,residential,524.440732252346,2021,0,1,10,1
22870,CHIGUAYANTE,primary,15.1413431251373,2021,0,4,6,1
44015,CHIGUAYANTE,residential,107.576654093554,2021,0,4,6,1
43984,CHIGUAYANTE,residential,1128.66237357583,2021,0,5,11,1
22870,CHIGUAYANTE,primary,15.1413431251373,2021,0,4,7,1
44015,CHIGUAYANTE,residential,107.576654093554,2021,0,4,7,1
127031,CHIGUAYANTE,residential,357.191782846424,2021,0,2,11,1
220933,CHIGUAYANTE,residential,646.507653970723,2021,0,2,11,1
220937,CHIGUAYANTE,residential,524.440732252346,2021,0,2,11,1
40844,HUALQUI,secondary,936.876582456538,2021,0,2,3,1
283737,HUALQUI,secondary,202.219367976196,2021,0,2,3,1
40737,CHIGUAYANTE,residential,274.996481025055,2021,0,3,5,1
43848,CHIGUAYANTE,residential,390.939521184536,2021,0,3,5,1
40737,CHIGUAYANTE,residential,274.996481025055,2021,0,5,2,1
43848,CHIGUAYANTE,residential,390.939521184536,2021,0,5,2,1
40737,CHIGUAYANTE,residential,274.996481025055,2021,0,4,8,1
43848,CHIGUAYANTE,residential,390.939521184536,2021,0,4,8,1
40737,CHIGUAYANTE,residential,274.996481025055,2021,0,5,10,1
43848,CHIGUAYANTE,residential,390.939521184536,2021,0,5,10,1
273076,CHIGUAYANTE,service,212.683310822478,2021,0,0,7,1
40737,CHIGUAYANTE,residential,274.996481025055,2021,0,3,12,1
43848,CHIGUAYANTE,residential,390.939521184536,2021,0,3,12,1
40737,CHIGUAYANTE,residential,274.996481025055,2021,0,0,11,1
43848,CHIGUAYANTE,residential,390.939521184536,2021,0,0,11,1
40737,CHIGUAYANTE,residential,274.996481025055,2021,0,5,2,1
43848,CHIGUAYANTE,residential,390.939521184536,2021,0,5,2,1
61200,LEBU,residential,729.449112029131,2021,0,3,7,1
164089,LEBU,tertiary,1236.34885048385,2021,0,3,7,1
164109,LEBU,tertiary,148.233544273039,2021,0,3,7,1
61200,LEBU,residential,729.449112029131,2021,0,5,7,1
164089,LEBU,tertiary,1236.34885048385,2021,0,5,7,1
164109,LEBU,tertiary,148.233544273039,2021,0,5,7,1
40737,CHIGUAYANTE,residential,274.996481025055,2021,0,4,10,1
43848,CHIGUAYANTE,residential,390.939521184536,2021,0,4,10,1
40741,CHIGUAYANTE,residential,1718.21212489068,2021,0,4,5,1
136854,CHIGUAYANTE,residential,1973.56631558819,2021,0,4,5,1
220912,CHIGUAYANTE,tertiary,4154.60791492747,2021,0,4,5,1
22870,CHIGUAYANTE,primary,15.1413431251373,2021,0,0,3,1
44015,CHIGUAYANTE,residential,107.576654093554,2021,0,0,3,1
22870,CHIGUAYANTE,primary,15.1413431251373,2021,0,1,7,1
44015,CHIGUAYANTE,residential,107.576654093554,2021,0,1,7,1
40741,CHIGUAYANTE,residential,1718.21212489068,2021,0,1,8,1
136854,CHIGUAYANTE,residential,1973.56631558819,2021,0,1,8,1
220912,CHIGUAYANTE,tertiary,4154.60791492747,2021,0,1,8,1
40741,CHIGUAYANTE,residential,1718.21212489068,2021,0,1,6,1
136854,CHIGUAYANTE,residential,1973.56631558819,2021,0,1,6,1
220912,CHIGUAYANTE,tertiary,4154.60791492747,2021,0,1,6,1
40741,CHIGUAYANTE,residential,1718.21212489068,2021,0,1,12,1
136854,CHIGUAYANTE,residential,1973.56631558819,2021,0,1,12,1
